                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1931,                 3.3004,                 1.3719,                0.00253,                0.80098,                0.44202,                0.31771,                0.79038,                 3.8103,                 1.2357,              0.0001667,              0.0001667,              0.0001667
                      2,                  1.045,                 2.3334,                 1.2629,                0.00296,                0.90784,                0.43693,                0.32081,                  0.834,                 3.5522,                 1.2715,             0.00034314,             0.00034314,             0.00034314
                      3,                0.97389,                 1.8654,                 1.2558,                0.84064,                0.25154,                0.50573,                0.32294,                0.94968,                 3.3373,                 1.3384,             0.00051232,             0.00051232,             0.00051232
                      4,                 1.0175,                 1.7303,                 1.2615,                0.85714,                0.44095,                0.57274,                0.30654,                 1.0802,                 3.6516,                 1.5592,             0.00067423,             0.00067423,             0.00067423
                      5,                 1.0367,                 1.6212,                 1.2641,                0.83732,                0.58277,                0.64308,                0.39229,                 1.2686,                 3.4438,                 2.0945,             0.00082889,             0.00082889,             0.00082889
                      6,                 1.0036,                  1.603,                 1.2951,                0.74264,                0.62934,                0.54939,                0.40411,                 1.0193,                 2.8302,                 1.5014,             0.00097628,             0.00097628,             0.00097628
                      7,                 1.0391,                 1.6282,                 1.2655,                0.77449,                0.57825,                0.75959,                0.56913,                0.99705,                 2.7581,                 1.4127,              0.0011164,              0.0011164,              0.0011164
                      8,                 1.1031,                 1.6141,                 1.2608,                0.91683,                 0.5644,                0.66842,                0.43657,                 1.1129,                 2.6498,                 1.5467,              0.0012493,              0.0012493,              0.0012493
                      9,                 1.0672,                 1.5329,                 1.3007,                0.91223,                0.66078,                0.72802,                0.43689,                 1.3651,                 2.8207,                 1.8342,              0.0013749,              0.0013749,              0.0013749
                     10,                 1.0568,                 1.4342,                 1.2882,                0.66231,                 0.7902,                 0.8228,                0.52623,                 1.3146,                  2.607,                  1.706,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.0454,                 1.3945,                 1.2631,                0.81887,                 0.7462,                0.85964,                0.64621,                 1.0777,                 2.2505,                 1.4821,              0.0013369,              0.0013369,              0.0013369
                     12,                0.99581,                 1.2473,                 1.2109,                0.34013,                0.36176,                0.33378,                0.18911,                 1.4057,                 3.1574,                  1.998,              0.0013039,              0.0013039,              0.0013039
                     13,                0.99304,                   1.24,                 1.2259,                0.47848,                0.62451,                0.57981,                 0.3881,                 1.0919,                 2.7707,                 1.4652,              0.0012709,              0.0012709,              0.0012709
                     14,                0.99527,                 1.2115,                  1.234,                0.80764,                0.78235,                 0.8758,                0.60201,                 1.1136,                 2.0623,                 1.5069,              0.0012379,              0.0012379,              0.0012379
                     15,                0.97684,                 1.1896,                 1.2018,                 0.9316,                0.86273,                0.94631,                0.72923,                 1.0145,                 1.8341,                 1.3707,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0242,                 1.1625,                 1.2244,                0.84933,                0.86537,                  0.916,                0.61138,                 1.1699,                 1.8713,                 1.5062,              0.0011719,              0.0011719,              0.0011719
                     17,                0.98257,                 1.1162,                 1.1829,                0.91291,                0.86373,                0.92488,                 0.6947,                0.96848,                  1.447,                 1.3351,              0.0011389,              0.0011389,              0.0011389
                     18,                0.97564,                 1.1083,                 1.2149,                0.91576,                0.85632,                0.94999,                0.70964,                0.98671,                 1.4055,                 1.3418,              0.0011059,              0.0011059,              0.0011059
                     19,                0.98269,                 1.0832,                 1.1822,                0.92388,                0.92647,                 0.9667,                0.69386,                  1.021,                 1.2974,                 1.4213,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0178,                 1.0418,                 1.1928,                0.96306,                0.87575,                0.95466,                0.68838,                 1.0396,                 1.4665,                 1.3999,              0.0010399,              0.0010399,              0.0010399
                     21,                0.92755,                0.99725,                  1.177,                0.96051,                0.93179,                0.97912,                0.72545,                0.98742,                 1.3289,                 1.3587,              0.0010069,              0.0010069,              0.0010069
                     22,                0.90107,                0.93205,                   1.15,                0.91733,                0.98529,                0.98106,                0.75052,                 0.9819,                 1.2861,                 1.3255,             0.00097386,             0.00097386,             0.00097386
                     23,                0.89564,                0.89644,                 1.1452,                0.98301,                0.89706,                0.98229,                0.72097,                 1.0779,                 1.1684,                 1.4225,             0.00094085,             0.00094085,             0.00094085
